순번/순위	구분	상품명	ItemId	ISBN13	부가기호	저자/아티스트	출판사/제작사	출간일	정가	판매가	마일리지	세일즈포인트	대표분류(대분류명)
1	국내도서	클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북	255076408	8.81E+12	1	피오나 와트 지음, 올가 데미도바 그림	어스본코리아	20201105	19,800	15,840	590점	69667	유아
2	국내도서	언젠가 우리가 같은 별을 바라본다면	285132160	9.79E+12	43810	차인표 지음, 제딧 그림	해결책	20211215	12,000	10,800	600점	135473	청소년
3	국내도서	트렌드 코리아 2025	346341455	9.79E+12	13320	김난도 외 지음	미래의창	20240925	20,000	18,000	1,000점	216790	경제경영
4	국내도서	이중 하나는 거짓말	344747677	9.79E+12	3810	김애란 지음	문학동네	20240827	16,000	14,400	800점	133175	소설/시/희곡
5	국내도서	우리 아기 오감발달 동물농장 사운드북	142232791	8.81E+12	1	샘 태플린 지음, 페데리카 아이오사 그림	어스본코리아	20180411	19,800	15,840	590점	55562	유아
6	국내도서	우리 아기 오감발달 시끌벅적 정글 사운드북	105141243	8.81E+12	1	샘 태플린 지음, 페데리카 아이오사 그림	어스본코리아	20170308	19,800	15,840	590점	46848	유아
7	국내도서	영원한 천국	344998179	9.79E+12	3810	정유정 지음	은행나무	20240828	19,800	17,820	990점	88110	소설/시/희곡
8	국내도서	고전이 답했다 마땅히 살아야 할 삶에 대하여	345266070	9.79E+12	3320	고명환 지음	라곰	20240826	16,800	15,120	840점	77205	자기계발
9	국내도서	흔한남매 17	346189024	9.79E+12	77810	흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수	미래엔아이세움	20240911	15,800	14,220	790점	50230	어린이
10	국내도서	즐거운 어른	345604350	9.79E+12	3810	이옥선 지음	이야기장수	20240826	16,800	15,120	840점	47205	에세이
11	국내도서	더 좋은 문장을 쓰고 싶은 당신을 위한 필사책	343903162	9.79E+12	3800	이주윤 지음	빅피시	20240807	22,000	19,800	1,100점	84693	인문학
12	국내도서	키득키득 사운드북 : 동물 오케스트라	234017729	8.81E+12	1	샘 태플린 지음, 가레스 루카스 그림, 앤서니 마크스 음악	어스본코리아	20200225	15,800	12,640	470점	31089	유아
13	국내도서	찬란한 멸종	344338610	9.79E+12	3400	이정모 지음	다산북스	20240807	21,000	18,900	1,050점	58285	과학
14	국내도서	불안 세대	343729075	9.79E+12	3180	조너선 하이트 지음, 이충호 옮김	웅진지식하우스	20240731	24,800	22,320	1,240점	73629	인문학
15	국내도서	ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩)	330109498	9.79E+12	14740	ETS 엮음	(주)YBM(와이비엠)	20231218	19,800	17,820	990점	184971	외국어
16	국내도서	빛이 이끄는 곳으로	344497704	9.79E+12	3810	백희성 지음	북로망스	20240821	18,800	16,920	940점	36915	소설/시/희곡
17	국내도서	ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝)	330109271	9.79E+12	14740	ETS 엮음	(주)YBM(와이비엠)	20231218	19,800	17,820	990점	171472	외국어
18	국내도서	우리 아기 오감발달 동물 오케스트라의 모차르트 사운드북	288773331	8.81E+12	1	샘 태플린 지음, 애그 자트코우스카 그림, 송지혜 옮김	어스본코리아	20220211	19,800	15,840	590점	19529	유아
19	국내도서	너에게 들려주는 단단한 말	342334735	9.79E+12	43190	김종원 지음	퍼스트펭귄	20240710	18,000	16,200	900점	99016	청소년
20	국내도서	만화로 보는 3분 철학 1 : 서양 고대 철학편	274349624	9.79E+12	3160	김재훈.서정욱 지음	카시오페아	20210702	16,000	14,400	800점	72901	인문학
21	국내도서	시대예보: 호명사회	346461236	9.79E+12	3320	송길영 지음	교보문고(단행본)	20240926	22,000	19,800	1,100점	80265	경제경영
22	국내도서	주술회전 27 트리플 특장판	345848982	9.79E+12	47830	아쿠타미 게게 지음, 이정운 옮김	서울미디어코믹스(서울문화사)	20240829	6,000	5,400	300점	53880	만화
23	국내도서	룩 백	290886787	9.79E+12		후지모토 타츠키 지음	학산문화사(만화)	20220322	6,000	5,400	300점	53492	만화
24	국내도서	저속노화 식사법	343316437	9.79E+12	3510	정희원 지음	테이스트북스	20240726	19,000	17,100	950점	60224	건강/취미
25	국내도서	2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상	329745037	9.79E+12	13910	최태성 지음	이투스북	20231201	16,000	14,400	800점	111434	수험서/자격증
26	국내도서	2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하	329745341	9.79E+12	13910	최태성 지음	이투스북	20231201	15,500	13,950	770점	99347	수험서/자격증
27	국내도서	푸른 들판을 걷다	344996894	9.79E+12	3840	클레어 키건 지음, 허진 옮김	다산책방	20240821	16,800	15,120	840점	44045	소설/시/희곡
28	국내도서	나는 세계와 맞지 않지만	346258013	9.79E+12	3810	진은영 지음	마음산책	20240915	16,800	15,120	840점	30330	에세이
29	국내도서	하루 한 장 나의 어휘력을 위한 필사 노트	336489042	9.79E+12	3800	유선경 지음	위즈덤하우스	20240328	23,800	21,420	1,190점	96104	인문학
30	국내도서	클래식 뮤지컬 비발디의 협주곡 사계 사운드북	311817907	8.81E+12	1	피오나 와트 지음, 줄리엣 오베른도르퍼 그림	어스본코리아	20230302	19,000	15,200	570점	14709	유아
