순위,상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9791168418844,S000214202464,흔한남매 17,"15,800","14,220",10%,5%,790,흔한남매,미래엔아이세움,20240911,어린이(초등)
2,9791191061048,S000001947596,언젠가 우리가 같은 별을 바라본다면,"12,000","10,800",10%,5%,600,차인표,해결책,20211215,청소년
3,9788959897223,S000214208202,트렌드 코리아 2025,"20,000","18,000",10%,5%,"1,000",김난도 외,미래의창,20241007,경제/경영
4,9791193939130,S000214054358,고전이 답했다 마땅히 살아야 할 삶에 대하여(나만의 책 만들기 에디션),"16,800","15,120",10%,5%,840,고명환,라곰,20240826,자기계발
5,9791167374561,S000214042901,영원한 천국,"19,800","17,820",10%,5%,990,정유정,은행나무,20240828,소설
6,9791141601300,S000214032055,이중 하나는 거짓말,"16,000","14,400",10%,5%,800,김애란,문학동네,20240827,소설
7,9791193937198,S000213999814,빛이 이끄는 곳으로,"18,800","16,920",10%,5%,940,백희성,북로망스,20240821,소설
8,9791198517425,S000212321676,불변의 법칙,"25,000","22,500",10%,5%,"1,250",모건 하우절,서삼독,20240228,경제/경영
9,9791170611561,S000213800371,당신이 누군가를 죽였다,"19,800","17,820",10%,5%,990,히가시노 게이고,북다,20240723,소설
10,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
11,9791171711673,S000212753904,하루 한 장 나의 어휘력을 위한 필사 노트,"23,800","21,420",10%,5%,"1,190",유선경,위즈덤하우스,20241023,인문
12,9791191369540,S000212731700,왜 당신은 다른 사람을 위해 살고 있는가,"14,000","12,600",10%,5%,700,고윤(페이서스 코리아),딥앤와이드,20240315,인문
13,9788937462146,S000000620351,면도날,"13,000","11,700",10%,5%,650,서머싯 몸,민음사,20090630,소설
14,9791168473690,S000200746091,세이노의 가르침,"7,200","6,480",10%,5%,360,세이노(SayNo),데이원,20230302,자기계발
15,9791168418905,S000214080733,흔한남매 흔한 게임 1,"15,800","14,220",10%,5%,790,흔한남매,미래엔아이세움,20240829,어린이(초등)
16,9791191056372,S000001947552,돈의 심리학(30만 부 기념 스페셜 에디션),"19,800","17,820",10%,5%,990,모건 하우절,인플루엔셜,20231106,경제/경영
17,9788901285894,S000213913660,불안 세대,"24,800","22,320",10%,5%,"1,240",조너선 하이트,웅진지식하우스,20240731,인문
18,9791168761841,S000001854018,룩 백,"6,000","5,400",10%,5%,300,Tatsuki Fujimoto,학산문화사,20220325,만화
19,9788976046529,S000212302920,삶을 견디는 기쁨(리커버:K),"16,800","15,120",10%,5%,840,헤르만 헤세,문예춘추사,20240228,시/에세이
20,9791170611875,S000214215646,시대예보: 호명사회,"22,000","19,800",10%,5%,"1,100",송길영,교보문고,20240925,경제/경영
21,9791198686114,S000213368065,THE MONEY BOOK(더 머니북),"22,000","19,800",10%,5%,"1,100",토스,비바리퍼블리카,20240527,경제/경영
22,9791193262238,S000214176691,돈 공부를 시작하고 인생의 불안이 사라졌다,"18,500","16,650",10%,5%,920,할미언니,필름(Feelm),20240904,경제/경영
23,9791164459667,S000213900397,데일 카네기 인간관계론(무삭제 최신 완역본),"11,000","9,900",10%,5%,550,데일 카네기,더스토리,20240816,자기계발
24,9791192300818,S000208779631,마흔에 읽는 쇼펜하우어(200쇄 기념 확장판),"17,000","15,300",10%,5%,850,강용수,유노북스,20230907,인문
25,9788934935193,S000214128116,흔한남매 과학 탐험대 11: 여러 가지 힘,"14,800","13,320",10%,5%,740,흔한남매,주니어김영사,20240830,어린이(초등)
26,9791172882723,S000214356331,사카모토 데이즈 17: 엔트리,"6,000","5,400",10%,5%,300,Yuto Suzuki,대원씨아이,20240930,만화
27,9788930041683,S000213451032,허송세월,"18,000","16,200",10%,5%,900,김훈,나남,20240620,시/에세이
28,9791162145043,S000213913377,행복할 거야 이래도 되나 싶을 정도로,"18,000","16,200",10%,5%,900,일홍,부크럼,20240729,시/에세이
29,9788965422785,S000001020219,해커스 토익 기출 VOCA(보카),"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20240819,외국어
30,9791136791047,S000214157289,주술회전 27: 바보 서바이버!!,"6,000","5,400",10%,5%,300,Gege Akutami,서울미디어코믹스(서울문화사),20240825,만화
31,9788957365793,S000000848997,자본주의,"22,000","19,800",10%,5%,"1,100",EBS 자본주의 제작팀,가나출판사,20130927,경제/경영
32,9791130655017,S000213944257,찬란한 멸종,"21,000","18,900",10%,5%,"1,050",이정모,다산북스,20240807,과학
33,9788965966463,S000214097098,좋은 리더를 넘어 위대한 리더로,"26,000","23,400",10%,5%,"1,300",짐 콜린스 외,흐름출판,20240905,경제/경영
34,9791141606862,S000213848131,저속노화 식사법,"19,000","17,100",10%,5%,950,정희원,테이스트북스,20240726,건강
35,9788901276533,S000211352514,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),"17,500","15,750",10%,5%,870,패트릭 브링리,웅진지식하우스,20231124,시/에세이
36,9791168340510,S000061450857,파친코 1,"15,800","14,220",10%,5%,790,이민진,인플루엔셜,20220805,소설
37,9791167372864,S000201621499,구의 증명,"12,000","10,800",10%,5%,600,최진영,은행나무,20230426,소설
38,9791193282045,S000212414274,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라,"17,500","15,750",10%,5%,870,쇼펜하우어,하이스트,20240220,인문
39,9788952776372,S000000733954,리틀 라이프 1,"14,800","13,320",10%,5%,740,한야 야나기하라,시공사,20160616,소설
40,9788954681155,S000000781065,홍학의 자리,"14,000","12,600",10%,5%,700,정해연,엘릭시르,20210726,소설
41,9788934918950,S000214145215,오롯이 내 인생이잖아요,"18,000","16,200",10%,5%,900,장명숙 외,김영사,20240828,시/에세이
42,9791167552723,S000213634979,죽이고 싶은 아이 2,"14,000","12,600",10%,5%,700,이꽃님,우리학교,20240701,청소년
43,9791141144685,S000214106784,멜로우TV 1: 멜랑뚱땅 타워 탈출기,"16,800","15,120",10%,5%,840,멜로우TV 외,학산문화사,20240825,어린이(초등)
44,9788937473401,S000200550189,급류,"14,000","12,600",10%,5%,700,정대건,민음사,20221222,소설
45,9791193506516,S000213310247,초역 부처의 말,"17,800","16,020",10%,5%,890,코이케 류노스케,포레스트북스,20240530,인문
46,9791192488882,S000214016090,김켈리의 신비마트 1,"16,000","14,400",10%,5%,800,김켈리,베가북스,20240823,어린이(초등)
47,9791171249480,S000214043326,타키 포오 코믹 어드벤처 6,"14,500","13,050",10%,5%,720,캐릭온TV,대원키즈,20240815,어린이(초등)
48,9791168418783,S000213987919,에그박사 13,"15,800","14,220",10%,5%,790,에그박사,미래엔아이세움,20240808,어린이(초등)
49,9791197647666,S000200329012,기분이 태도가 되지 말자 (20만부 기념),"16,000","14,400",10%,5%,800,김수현(훈글),하이스트,20221125,시/에세이
50,9791190776752,S000001943655,3분 철학 1: 서양 고대 철학편,"16,000","14,400",10%,5%,800,김재훈,카시오페아,20210702,인문
51,9791188331796,S000001913217,돈의 속성(300쇄 리커버에디션),"17,800","16,020",10%,5%,890,김승호,스노우폭스북스,20200615,경제/경영
52,9791198682550,S000213690082,너에게 들려주는 단단한 말,"18,000","16,200",10%,5%,900,김종원,퍼스트펭귄,20240710,청소년
53,9788993178302,S000213854885,지도로 보아야 보인다,"29,800","26,820",10%,5%,"1,490",에밀리 오브리 외,사이,20240730,정치/사회
55,9791193506844,S000214299995,생각의 연금술,"19,800","17,820",10%,5%,990,제임스 알렌 외,포레스트북스,20240925,자기계발
56,9791171175864,S000213326678,행복의 기원,"22,000","19,800",10%,5%,"1,100",서은국,21세기북스,20240522,인문
57,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
58,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
59,9788934991328,S000000598067,사피엔스 그래픽 히스토리 1: 인류의 탄생,"17,800","16,020",10%,5%,890,유발 하라리 외,김영사,20201123,인문
60,9791193647646,S000211975066,시한부,"16,800","15,120",10%,5%,840,백은별,바른북스,20240123,청소년
61,9791193937112,S000213494514,만일 나에게 단 한 번의 아침이 남아 있다면,"19,800","17,820",10%,5%,990,존 릴런드,북모먼트,20240626,인문
62,9791192504407,S000214197464,백앤아 7: 예측 불가 무인도 탐험,"16,800","15,120",10%,5%,840,백앤아,샌드박스네트워크,20240904,어린이(초등)
63,9791164408856,S000214078201,어른의 감정력,"16,800","15,120",10%,5%,840,티보 뫼리스,오픈도어북스,20240901,자기계발
64,9791158792152,S000213314517,백설공주에게 죽음을,"17,800","16,020",10%,5%,890,넬레 노이하우스,북로드,20240524,소설
65,9791168418516,S000213724095,흔한남매 이무기 2,"15,800","14,220",10%,5%,790,이종혁,미래엔아이세움,20240710,어린이(초등)
66,9791193401217,S000213835377,"다시, 역사의 쓸모","18,000","16,200",10%,5%,900,최태성,프런트페이지,20240729,역사/문화
67,9791198553317,S000211741146,내 몸 혁명,"19,500","17,550",10%,5%,970,박용우,루미너스,20240110,건강
68,9791188469994,S000001914848,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),"17,000","15,300",10%,5%,850,김상현,필름(Feelm),20220420,시/에세이
69,9791136789549,S000214015667,명탐정 코난 105,"6,000","5,400",10%,5%,300,Gosho AOYAMA,서울미디어코믹스(서울문화사),20240816,만화
70,9791158682880,S000214299207,어린이 스도쿠: 학교 괴담,"13,000","11,700",10%,5%,650,한날,파란정원,20240920,어린이(초등)
71,9791193031681,S000214096277,설민석의 한국사 대모험 30,"13,000","11,700",10%,5%,650,설민석 외,단꿈아이,20240826,어린이(초등)
72,9791165349936,S000214054290,화이트홀,"18,000","16,200",10%,5%,900,카를로 로벨리,쌤앤파커스,20240901,과학
73,9791191043754,S000061353833,세상의 마지막 기차역(리커버 에디션),"14,000","12,600",10%,5%,700,무라세 다케시,모모,20220509,소설
74,9788934972464,S000000597165,사피엔스,"26,800","24,120",10%,5%,"1,340",유발 하라리,김영사,20230401,인문
